Product Description,Vietnamese,Item #,Category,Unit Price,Packaging,Origin,Method,Weight (lbs),Pack,Pack Type,Case price
BLK MUSSEL MEAT (20),THIT VEM ,F0766,CLAMS & SHELLFISH,$3.00 ,10 X 2 LB,CHILE,FARMED,20,Bag,Retail,60
BLK MUSSEL WHOLE (20),VEM NGUYEN CON,F0768,CLAMS & SHELLFISH,$1.70 ,20 X 16 OZ,CHINA,FARMED,20,VP,Retail,34
GRN MUSSEL H/S Med  (24),VEM NUA MANH,F0764,CLAMS & SHELLFISH,$4.75 ,12 X 2 LB,NEW ZLAND,FARMED,24,Bag,Retail,114
CKD BABY CLAM MEAT (30),THIT HEN,F0012,CLAMS & SHELLFISH,OOS,30 X 14 OZ,VIETNAM,WILD,26.25,VP,Retail,#N/A
CKD CLAM MEAT 200/300 (30),THIT NGHEU,F0016,CLAMS & SHELLFISH,$3.70 ,30 X 14 OZ,CHINA,WILD,26.25,Bag,Retail,111
CKD CLAM MEAT 300/500 (30),THIT NGHEU,F0017,CLAMS & SHELLFISH,$3.70 ,30 X 14 OZ,VIETNAM,WILD,26.25,Bag,Retail,111
CKD WHL WHT CLAM 11/16 (10x1),NGHEU ,F0745,CLAMS & SHELLFISH,$2.60 ,10 X 16 OZ,VIETNAM,FARMED,10,VP,Retail,26
CKD WHL WHT CLAM 11/16 (10x2),NGHEU ,F0741,CLAMS & SHELLFISH,OOS,10 X 2 LB,VIETNAM,FARMED,20,VP,Retail,#N/A
CKD WHL WHT CLAM 17/22 (10x2),NGHEU ,F0742,CLAMS & SHELLFISH,$2.20 ,10 X 2 LB,VIETNAM,FARMED,20,VP,Retail,44
CKD WHL WHT CLAM 23/30 (10x2),NGHEU ,F0747,CLAMS & SHELLFISH,OOS,10 X 2 LB,VIETNAM,FARMED,20,VP,Retail,#N/A
COOKED ABALONE 41/45g (30),BAO NGU,F0802,CLAMS & SHELLFISH,$6.00 ,30 X 8 OZ,CHINA,FARMED,15,VP,Retail,180
COOKED ABALONE 61/65g (30),BAO NGU,F0805,CLAMS & SHELLFISH,$7.00 ,30 X 8 OZ,CHINA,FARMED,15,VP,Retail,210
COOKED COCONUT TOPSNAIL (24),OC LEN XAO DUA,F0021,CLAMS & SHELLFISH,$3.90 ,24 X 12 OZ,VIETNAM,WILD,18,Box,Retail,93.6
TOPSNAIL TAIL-OFF (24),OC LEN CHAT DUOI,F0023,CLAMS & SHELLFISH,$3.90 ,24 X 12 OZ,VIETNAM,WILD,18,VP,Retail,93.6
COOKED SNAIL MEAT (30),THIT OC BUOU,F0035,CLAMS & SHELLFISH,$3.20 ,30 X 14 OZ,VIETNAM,WILD,26.25,VP,Retail,96
CROWN CONCH 40/60 (30),OC VUONG MIEN/ OC GAI,F0791,CLAMS & SHELLFISH,$2.60 ,1 X 30 LB,INDONESIA,WILD,30,Bulk,Bulk,78
HS ARKSHELL CLAM 20/30 (24),SO LONG NUA MANH,F0777,CLAMS & SHELLFISH,$3.70 ,24 X 16 OZ,VIETNAM,FARMED,24,VP,Retail,88.8
MELO SNAIL/CONCH  MEAT (20x1.5,THIT OC GIAC,F0037,CLAMS & SHELLFISH,$4.90 ,20 X1.5 LB,INDONESIA,WILD,30,Box,Retail,147
